MUESTRA,ID,FECHA,CP,C.A,ORIGEN,EDAD,PERRO/GATO,nº ESPECIES,RESULTADO,ESPECIE 1,ESPECIE 2,ESPECIE 3,ESTACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,10656004,3/15/17,48012,PAÍS VASCO,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10656005,3/15/17,35413,CANARIAS,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,10656012,3/15/17,35413,CANARIAS,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,10656013,3/15/17,45600,C. LA MANCHA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,10656014,3/15/17,28935,,M,NC,2,1,"CONTAMINACIÓN


",CONTAMINACIÓN,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,10656017,3/15/17,08016,CATALUÑA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,10656018,3/15/17,28935,,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,10656033,3/15/17,47140,C. LEÓN,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,10656782,3/15/17,50410,ARAGON,M,NC,1,1,"30.000 UFC/ml Escherichia coli


",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,10656887,3/15/17,08940,CATALUÑA,T,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,10667873,3/15/17,08034,CATALUÑA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,10667884,3/15/17,27880,GALICIA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,10667889,3/15/17,07010,BALEARES,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,10667894,3/15/17,51001,CEUTA/MELILLA,M,NC,1,1,"> 100.000 UFC/ml Proteus mirabilis


",Proteus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,10667895,3/15/17,48902,PAÍS VASCO,M,NC,2,1,"Escherichia coli
 NOTA: la muestra se remitió sembrada



",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,10667896,3/15/17,33205,ASTURIAS,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,10667897,3/15/17,50180,ARAGON,M,NC,2,1,"> 100.000 UFC/ml Escherichia coli


",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,10667898,3/15/17,07620,BALEARES,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,982772,3/15/17,08036,CATALUÑA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,10124171,3/16/17,28011,,M,NC,2,1,"20.000 UFC/ml Pasteurella multocida



",Pasteurella,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10292277,3/16/17,15930,GALICIA,M,NC,1,1," 50.000 UFC/ml Streptococcus grupo viridans


",Streptococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,10374509,3/16/17,28924,,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,10430180,3/16/17,28014,,MD,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,10491773,3/16/17,08812,CATALUÑA,ZZZZ,6,1,1,"> 100.000 UFC/ml Proteus mirabilis


",Proteus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,10502770,3/16/17,16003,C. LA MANCHA,M,NC,1,1,"> 100.000 UFC/ml Staphylococcus pseudintermedius

> 100.000 UFC/ml Staphylococcus coagulasa negativa


",Staphylococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,10503391,3/16/17,08191,CATALUÑA,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,10514982,3/16/17,11204,ANDALUCIA,ZZZZ,7,1,1,"60.000 UFC/ml Staphylococcus pseudintermedius



",Staphylococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,10546106,3/16/17,28100,,M,NC,1,1,"> 100.000 UFC/ml Staphylococcus pseudintermedius
> 100.000 UFC/ml Staphylococcus aureus


",Staphylococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,10554678,3/16/17,08223,CATALUÑA,ZZZZ,10,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,10562842,3/16/17,28670,,MD,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,10585291,3/16/17,29649,ANDALUCIA,ZZZZ,7,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,10585292,3/16/17,29649,ANDALUCIA,ZZZZ,15,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,10651700,3/16/17,07010,BALEARES,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,10653067,3/16/17,08036,CATALUÑA,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,10654054,3/16/17,34002,C. LEÓN,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,10656043,3/16/17,28031,,ZZZZ,5,1,1," > 100.000 UFC/ml Klebsiella pneumoniae

",Klebsiella,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,10656045,3/16/17,50007,ARAGON,M,NC,1,1,"60.000 UFC/ml Proteus mirabilis



",Proteus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,10656063,3/16/17,07010,BALEARES,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,10656068,3/16/17,07008,BALEARES,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,10656069,3/16/17,07800,BALEARES,M,NC,1,1,"30.000 UFC/ml Staphylococcus pseudintermedius



",Staphylococcus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,10656070,3/16/17,41930,ANDALUCIA,M,NC,2,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,10656075,3/16/17,35413,CANARIAS,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,10656076,3/16/17,33006,ASTURIAS,M,NC,1,1,"> 100.000 UFC/ml Klebsiella pneumoniae



",Klebsiella,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10656077,3/16/17,33006,ASTURIAS,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,10656086,3/16/17,15220,GALICIA,M,NC,1,1,"> 100.000 UFC/ml Proteus mirabilis


",Proteus,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,10656096,3/16/17,18003,ANDALUCIA,M,NC,1,1,"> 100.000 UFC/ml Escherichia coli


",Escherichia ,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,10656097,3/16/17,07010,BALEARES,M,NC,1,0,0,0,0,0,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
